#{"t_start": 1767430297.952366, "env_id": "None"}
r,l,t
1035.95,2000,6551.161135
-857.95,2000,6560.22618
-6336.7,2000,6576.243742
-3806.35,2000,6585.677058
2807.1,2000,6594.611956
586.6,2000,6603.58621
566.6,2000,6612.912409
1082.0,2000,6628.397502
-354.3,2000,6637.454161
381.95,2000,6646.839605
84.2,2000,6655.824558
-2816.05,2000,6659.692775
-6161.85,2000,6675.805944
-6436.15,2000,6684.858991
358.85,2000,6694.03792
-5992.6,2000,6703.482602
-7099.45,2000,6712.456329
1986.35,2000,6728.147474
1897.2,2000,6737.46601
-6570.8,2000,6746.314887
1478.8,2000,6755.442476
431.45,2000,6764.715956
3247.35,2000,6782.014609
-3574.6,2000,6791.130619
4420.6,2000,6800.352878
1165.8,2000,6809.397843
3064.6,2000,6818.677249
-6606.9,2000,6835.108222
-6306.6,2000,6844.219379
-7195.4,2000,6853.732204
-3532.05,2000,6862.727662
4126.6,2000,6871.673854
2046.05,2000,6887.935726
-6849.55,2000,6896.895936
78.75,2000,6905.893461
-7060.25,2000,6915.366524
-7366.1,2000,6924.323311
1748.15,2000,6941.244201
-7055.05,2000,6950.700783
3261.75,2000,6959.713127
-6723.3,2000,6968.864727
-6972.7,2000,6978.365581
775.45,2000,6994.581351
-4029.85,2000,7003.949526
-6820.3,2000,7012.889696
949.7,2000,7021.899288
-6460.3,2000,7030.915253
2830.35,2000,7047.065662
2066.3,2000,7056.56101
686.6,2000,7065.999718
-6286.9,2000,7074.997721
-620.3,2000,7083.974359
2166.25,2000,7100.044062
4308.3,2000,7109.118886
2411.5,2000,7113.242833
-7522.65,2000,7122.315586
3453.8,2000,7131.39648
1538.5,2000,7147.844561
-16.0,2000,7156.960171
-6413.05,2000,7165.869008
